,,,,,,,,,,,,
Параметры:,,Период отчета: 02.09.2024 - 05.05.2025,,,,,,,,,,
,,,,,,,,,,,,
Оригинатор,,,Вид сельскохозяйственной культуры,,Сорт,Заявление,Свидетельство,,,Основание,,Статус
,,,,,,,"(номер, дата выдачи, подписано)",,,"(наличие, тип основания, номер основания)",,
,,,,,БЫЧЬЕ СЕРДЦЕ МАЛИНОВОЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035364 от 24.12.2024 15:47:08,Свидетельство оригинатора №2024-035143 от 25.12.2024 на сорт БЫЧЬЕ СЕРДЦЕ МАЛИНОВОЕ,,,,Лицензия,Включен
,,,,,,,2024-035143,25.12.2024,✔,,,
,,,,,ВИШЕНКА РОЗОВАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035365 от 24.12.2024 15:49:08,Свидетельство оригинатора №2024-035144 от 25.12.2024 на сорт ВИШЕНКА РОЗОВАЯ,,,,Лицензия,Включен
,,,,,,,2024-035144,25.12.2024,✔,,,
,,,,,ВИШЕНКА ЧЕРНАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035366 от 24.12.2024 15:51:08,Свидетельство оригинатора №2024-035145 от 25.12.2024 на сорт ВИШЕНКА ЧЕРНАЯ,,,,Лицензия,Включен
,,,,,,,2024-035145,25.12.2024,✔,,,
,,,,,ВОЛГОГРАДСКИЙ 5/95,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035367 от 24.12.2024 15:53:08,Свидетельство оригинатора №2024-035146 от 25.12.2024 на сорт ВОЛГОГРАДСКИЙ 5/95,,,,Лицензия,Включен
,,,,,,,2024-035146,25.12.2024,✔,,,
,,,,,ВОЛГОГРАДСКИЙ СКОРОСПЕЛЫЙ 323,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035368 от 24.12.2024 15:55:08,Свидетельство оригинатора №2024-035147 от 25.12.2024 на сорт ВОЛГОГРАДСКИЙ СКОРОСПЕЛЫЙ 323,,,,Лицензия,Включен
,,,,,,,2024-035147,25.12.2024,✔,,,
,,,,,ВОЛОВЬЕ СЕРДЦЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035369 от 24.12.2024 15:57:09,Свидетельство оригинатора №2024-035148 от 25.12.2024 на сорт ВОЛОВЬЕ СЕРДЦЕ,,,,Лицензия,Включен
,,,,,,,2024-035148,25.12.2024,✔,,,
,,,,,ГРУША КРАСНАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035370 от 24.12.2024 15:59:08,Свидетельство оригинатора №2024-035149 от 25.12.2024 на сорт ГРУША КРАСНАЯ,,,,Лицензия,Включен
,,,,,,,2024-035149,25.12.2024,✔,,,
,,,,,ГРУША РОЗОВАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035371 от 24.12.2024 16:01:08,Свидетельство оригинатора №2024-035150 от 25.12.2024 на сорт ГРУША РОЗОВАЯ,,,,Лицензия,Включен
,,,,,,,2024-035150,25.12.2024,✔,,,
,,,,,ДАР ЗАВОЛЖЬЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035372 от 24.12.2024 16:03:09,Свидетельство оригинатора №2024-035151 от 25.12.2024 на сорт ДАР ЗАВОЛЖЬЯ,,,,Лицензия,Включен
,,,,,,,2024-035151,25.12.2024,✔,,,
,,,,,ДЕ БАРАО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035373 от 24.12.2024 16:05:08,Свидетельство оригинатора №2024-035152 от 25.12.2024 на сорт ДЕ БАРАО,,,,Лицензия,Включен
,,,,,,,2024-035152,25.12.2024,✔,,,
,,,,,ДЕ БАРАО ЗОЛОТОЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035374 от 24.12.2024 16:07:08,Свидетельство оригинатора №2024-035153 от 25.12.2024 на сорт ДЕ БАРАО ЗОЛОТОЙ,,,,Лицензия,Включен
,,,,,,,2024-035153,25.12.2024,✔,,,
,,,,,ДЕ БАРАО ОРАНЖЕВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035375 от 24.12.2024 16:09:08,Свидетельство оригинатора №2024-035154 от 25.12.2024 на сорт ДЕ БАРАО ОРАНЖЕВЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035154,25.12.2024,✔,,,
,,,,,ДЕ БАРАО РОЗОВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035376 от 24.12.2024 16:11:08,Свидетельство оригинатора №2024-035155 от 25.12.2024 на сорт ДЕ БАРАО РОЗОВЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035155,25.12.2024,✔,,,
,,,,,ДЕ БАРАО ЧЕРНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035377 от 24.12.2024 16:13:08,Свидетельство оригинатора №2024-035156 от 25.12.2024 на сорт ДЕ БАРАО ЧЕРНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035156,25.12.2024,✔,,,
,,,,,ДУБРАВА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035378 от 24.12.2024 16:15:08,Свидетельство оригинатора №2024-035157 от 25.12.2024 на сорт ДУБРАВА,,,,Лицензия,Включен
,,,,,,,2024-035157,25.12.2024,✔,,,
,,,,,ДУША СИБИРИ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035379 от 24.12.2024 16:17:08,Свидетельство оригинатора №2024-035158 от 25.12.2024 на сорт ДУША СИБИРИ,,,,Лицензия,Включен
,,,,,,,2024-035158,25.12.2024,✔,,,
,,,,,ЖИРАФ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035380 от 24.12.2024 16:19:08,Свидетельство оригинатора №2024-035159 от 25.12.2024 на сорт ЖИРАФ,,,,Лицензия,Включен
,,,,,,,2024-035159,25.12.2024,✔,,,
,,,,,ЗЕМЛЯК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035381 от 24.12.2024 16:21:08,Свидетельство оригинатора №2024-035160 от 25.12.2024 на сорт ЗЕМЛЯК,,,,Лицензия,Включен
,,,,,,,2024-035160,25.12.2024,✔,,,
,,,,,КРАСНАЯ СТРЕЛА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035382 от 24.12.2024 16:23:08,Свидетельство оригинатора №2024-035161 от 25.12.2024 на сорт КРАСНАЯ СТРЕЛА,,,,Лицензия,Включен
,,,,,,,2024-035161,25.12.2024,✔,,,
,,,,,КРАСНАЯ ШАПОЧКА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035383 от 24.12.2024 16:25:08,Свидетельство оригинатора №2024-035162 от 25.12.2024 на сорт КРАСНАЯ ШАПОЧКА,,,,Лицензия,Включен
,,,,,,,2024-035162,25.12.2024,✔,,,
,,,,,КРЫМСКИЙ ЧЕРНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035384 от 24.12.2024 16:27:08,Свидетельство оригинатора №2024-035163 от 25.12.2024 на сорт КРЫМСКИЙ ЧЕРНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035163,25.12.2024,✔,,,
,,,,,ЛЯНА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035385 от 24.12.2024 16:29:08,Свидетельство оригинатора №2024-035164 от 25.12.2024 на сорт ЛЯНА,,,,Лицензия,Включен
,,,,,,,2024-035164,25.12.2024,✔,,,
,,,,,МЕДОВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035386 от 24.12.2024 16:31:08,Свидетельство оригинатора №2024-035165 от 25.12.2024 на сорт МЕДОВЫЙ,,,,Лицензия,Включен
